Country,Lat,Long,Date,Confirmed,Deaths,Recovered,Num_days_from_begin,Num_days_from_begin_norm
Mongolia,0.8290197678713289,0.7481064276417273,2020-01-22,0,0,0,0.0,0.0
Montenegro,0.7878111193921997,0.4611587301856663,2020-01-22,0,0,0,0.0,0.0
Morocco,0.6866593553786615,0.3715834327479326,2020-01-22,0,0,0,0.0,0.0
Mozambique,0.2100333258709076,0.5162411337167371,2020-01-22,0,0,0,0.0,0.0
Namibia,0.16949152542372883,0.45841098419604837,2020-01-22,0,0,0,0.0,0.0
Nepal,0.6524172119432818,0.6815961091699574,2020-01-22,0,0,0,0.0,0.0
Netherlands,0.8788017044558238,0.4136138324031068,2020-01-22,0,0,0,0.0,0.0
New Zealand,0.0,0.9892106169701145,2020-01-22,0,0,0,0.0,0.0
Nicaragua,0.5078794714335509,0.10646599341912116,2020-01-22,0,0,0,0.0,0.0
Niger,0.5526766965447081,0.42308432450961586,2020-01-22,0,0,0,0.0,0.0
Nigeria,0.47214106440640186,0.42509897621346615,2020-01-22,0,0,0,0.0,0.0
North Macedonia,0.7793908582450831,0.4694579684124605,2020-01-22,0,0,0,0.0,0.0
Norway,0.9575765819634116,0.42439846389595487,2020-01-22,0,0,0,0.0,0.0
Oman,0.5847197859133962,0.5891108346923295,2020-01-22,0,0,0,0.0,0.0
Pakistan,0.6732798872512487,0.6310095488924676,2020-01-22,0,0,0,0.0,0.0
Panama,0.46700238136396144,0.12148458380777993,2020-01-22,0,0,0,0.0,0.0
Papua New Guinea,0.3266993313099769,0.88423389101671,2020-01-22,0,0,0,0.0,0.0
Paraguay,0.16491110739564177,0.19729976938075588,2020-01-22,0,0,0,0.0,0.0
Peru,0.29954176927502063,0.14105718305126735,2020-01-22,0,0,0,0.0,0.0
Philippines,0.5091509176422135,0.8097179114279556,2020-01-22,0,0,0,0.0,0.0
Poland,0.876787794116397,0.46063300655203016,2020-01-22,0,0,0,0.0,0.0
Portugal,0.758527238326263,0.3677418150532087,2020-01-22,0,0,0,0.0,0.0
Qatar,0.6258556993568145,0.5693712528615282,2020-01-22,0,0,0,0.0,0.0
Romania,0.8203359602961167,0.48039159453098085,2020-01-22,0,0,0,0.0,0.0
Russia,0.9531180187354118,0.7011113505734935,2020-01-22,0,0,0,0.0,0.0
Rwanda,0.36802322231321977,0.49704607124250993,2020-01-22,0,0,0,0.0,0.0
Saint Kitts and Nevis,0.5503153772256213,0.1825727265168009,2020-01-22,0,0,0,0.0,0.0
Saint Lucia,0.5177412087429403,0.1886957539925638,2020-01-22,0,0,0,0.0,0.0
Saint Vincent and the Grenadines,0.5090026137382313,0.1876493976578316,2020-01-22,0,0,0,0.0,0.0
San Marino,0.8014361863414938,0.43793661110196624,2020-01-22,0,0,0,0.0,0.0
Sao Tome and Principe,0.3881118834879189,0.4180998976722559,2020-01-22,0,0,0,0.0,0.0
Saudi Arabia,0.6130581115150897,0.5483833743719062,2020-01-22,0,0,0,0.0,0.0
Senegal,0.5232955205608723,0.34660460254241166,2020-01-22,0,0,0,0.0,0.0
Serbia,0.8021361429838557,0.4669484780657171,2020-01-22,0,0,0,0.0,0.0
Seychelles,0.34214749720631343,0.5839927505120629,2020-01-22,0,0,0,0.0,0.0
Sierra Leone,0.46627082748855375,0.3556749846847779,2020-01-22,0,0,0,0.0,0.0
Singapore,0.39847369778309283,0.7480609486443695,2020-01-22,0,0,0,0.0,0.0
Slovakia,0.8460841629378153,0.46251291824132035,2020-01-22,0,0,0,0.0,0.0
Slovenia,0.8223007508711675,0.4465494507732278,2020-01-22,0,0,0,0.0,0.0
Somalia,0.43501880247903674,0.5524547628219378,2020-01-22,0,0,0,0.0,0.0
South Africa,0.09768315295989088,0.4735042415952946,2020-01-22,0,0,0,0.0,0.0
South Korea,0.7264114139218638,0.8300816415881673,2020-01-22,1,0,0,0.0,0.0
South Sudan,0.45131239508915716,0.5019099481912764,2020-01-22,0,0,0,0.0,0.0
Spain,0.7641958480574551,0.38207957806351106,2020-01-22,0,0,0,0.0,0.0
Sri Lanka,0.45247426643882654,0.6705657553331761,2020-01-22,0,0,0,0.0,0.0
Sudan,0.5078549115513628,0.4982125735851874,2020-01-22,0,0,0,0.0,0.0
Suriname,0.4233736398784475,0.20549956472526779,2020-01-22,0,0,0,0.0,0.0
Sweden,0.9814563443371053,0.44995867859754984,2020-01-22,0,0,0,0.0,0.0
Switzerland,0.8286013052632772,0.42357916315250904,2020-01-22,0,0,0,0.0,0.0
Syria,0.7150956843563943,0.5280088344649345,2020-01-22,0,0,0,0.0,0.0
Taiwan*,0.6102242789549204,0.8063239564012536,2020-01-22,1,0,0,0.0,0.0
Tajikistan,0.7534370516050357,0.6375632522913439,2020-01-22,0,0,0,0.0,0.0
Tanzania,0.3261892414491464,0.5140664163059175,2020-01-22,0,0,0,0.0,0.0
Thailand,0.5280431347100092,0.7384448558672149,2020-01-22,2,0,0,0.0,0.0
Timor-Leste,0.3025246897661805,0.8223690111542331,2020-01-22,0,0,0,0.0,0.0
Togo,0.4677722392094741,0.3984547322763426,2020-01-22,0,0,0,0.0,0.0
Trinidad and Tobago,0.4873474099242706,0.18786898654805922,2020-01-22,0,0,0,0.0,0.0
Tunisia,0.707519196854068,0.4262009934106363,2020-01-22,0,0,0,0.0,0.0
Turkey,0.7544068457837767,0.5152695733628834,2020-01-22,0,0,0,0.0,0.0
US,0.7367095614455192,0.07081012009509857,2020-01-22,1,0,0,0.0,0.0
Uganda,0.39579761523543955,0.5042619590247809,2020-01-22,0,0,0,0.0,0.0
Ukraine,0.8433485699063985,0.5014300429505009,2020-01-22,0,0,0,0.0,0.0
United Arab Emirates,0.6130581115150897,0.5789289696122236,2020-01-22,0,0,0,0.0,0.0
United Kingdom,0.9094590497025894,0.38399376869857094,2020-01-22,0,0,0,0.0,0.0
Uruguay,0.0791376080752893,0.2063887809422637,2020-01-22,0,0,0,0.0,0.0
Uzbekistan,0.7772078625628993,0.6148550017563716,2020-01-22,0,0,0,0.0,0.0
Venezuela,0.44703141870159463,0.16965295112874457,2020-01-22,0,0,0,0.0,0.0
Vietnam,0.5374892432439071,0.7622025410541284,2020-01-22,0,0,0,0.0,0.0
West Bank and Gaza,0.6881754557983522,0.5152352944171137,2020-01-22,0,0,0,0.0,0.0
Western Sahara,0.6150937479041447,0.35192157248724293,2020-01-22,0,0,0,0.0,0.0
Yemen,0.533264253941625,0.5603178371003406,2020-01-22,0,0,0,0.0,0.0
Zambia,0.24072368526699897,0.49164764637703784,2020-01-22,0,0,0,0.0,0.0
Zimbabwe,0.19742933602358503,0.49747404897137704,2020-01-22,0,0,0,0.0,0.0
