Country,Lat,Long,Date,Confirmed,Deaths,Recovered,Num_days_from_begin,Num_days_from_begin_norm
Finland,0.9909024528710031,0.4838982288645693,2020-01-22,0,0,0,0.0,0.0
France,0.8230224335631573,0.4031685964129289,2020-01-22,0,0,0,0.0,0.0
Gabon,0.37875966927284804,0.43505717965731233,2020-01-22,0,0,0,0.0,0.0
Gambia,0.5133374329444371,0.3436936073160094,2020-01-22,0,0,0,0.0,0.0
Georgia,0.7860673677568422,0.5428067668675323,2020-01-22,0,0,0,0.0,0.0
Germany,0.8681030419303313,0.4262009934106363,2020-01-22,0,0,0,0.0,0.0
Ghana,0.4614150081661609,0.3921827033869974,2020-01-22,0,0,0,0.0,0.0
Greece,0.7554506407767725,0.46972609085956996,2020-01-22,0,0,0,0.0,0.0
Grenada,0.5008052807525148,0.1863196460783698,2020-01-22,0,0,0,0.0,0.0
Guatemala,0.5354441607463182,0.08941612094698131,2020-01-22,0,0,0,0.0,0.0
Guinea,0.480298723736276,0.3627455738584008,2020-01-22,0,0,0,0.0,0.0
Guinea-Bissau,0.4978505380031116,0.34413380328297266,2020-01-22,0,0,0,0.0,0.0
Guyana,0.4335820493710309,0.19626054035157978,2020-01-22,0,0,0,0.0,0.0
Haiti,0.5655555209198243,0.15032268027416365,2020-01-22,0,0,0,0.0,0.0
Holy See,0.7821708479866093,0.43792167769984874,2020-01-22,0,0,0,0.0,0.0
Honduras,0.5299323564167888,0.10295426815299269,2020-01-22,0,0,0,0.0,0.0
Hungary,0.8318536004314983,0.4618487212425948,2020-01-22,0,0,0,0.0,0.0
Iceland,1.0,0.33109965839842653,2020-01-22,0,0,0,0.0,0.0
India,0.5847197859133962,0.6603838902530702,2020-01-22,0,0,0,0.0,0.0
Indonesia,0.3788956932357362,0.7822991669537387,2020-01-22,0,0,0,0.0,0.0
Iran,0.6886269797862724,0.5755350145855217,2020-01-22,0,0,0,0.0,0.0
Iraq,0.6980730883201702,0.5449894193452043,2020-01-22,0,0,0,0.0,0.0
Ireland,0.888340384853354,0.36954875670942483,2020-01-22,0,0,0,0.0,0.0
Israel,0.6791808712523746,0.5144438241048868,2020-01-22,0,0,0,0.0,0.0
Italy,0.7925341736591486,0.4363828584907421,2020-01-22,0,0,0,0.0,0.0
Jamaica,0.5574167538070179,0.1333111594938255,2020-01-22,0,0,0,0.0,0.0
Japan,0.7264114139218638,0.8640211918551867,2020-01-22,2,0,0,0.0,0.0
Jordan,0.68144793730051,0.5195686961952066,2020-01-22,0,0,0,0.0,0.0
Kazakhstan,0.8399498600559021,0.6227914261908115,2020-01-22,0,0,0,0.0,0.0
Kenya,0.3861285785401417,0.5243073362034879,2020-01-22,0,0,0,0.0,0.0
Kosovo,0.7887806301876847,0.46659916203250384,2020-01-22,0,0,0,0.0,0.0
Kuwait,0.6650117084515279,0.5577167506953364,2020-01-22,0,0,0,0.0,0.0
Kyrgyzstan,0.7755727411756816,0.6494081790922188,2020-01-22,0,0,0,0.0,0.0
Laos,0.5739159881999213,0.7435205020338276,2020-01-22,0,0,0,0.0,0.0
Latvia,0.923642381666237,0.479157552483272,2020-01-22,0,0,0,0.0,0.0
Lebanon,0.7061466772840927,0.5173704315244119,2020-01-22,0,0,0,0.0,0.0
Liberia,0.4470720369682904,0.36365209924603287,2020-01-22,0,0,0,0.0,0.0
Libya,0.6351157195525946,0.4541275787694537,2020-01-22,0,0,0,0.0,0.0
Liechtenstein,0.8316410629894856,0.42806766867532237,2020-01-22,0,0,0,0.0,0.0
Lithuania,0.9074876468515649,0.47670745634949585,2020-01-22,0,0,0,0.0,0.0
Luxembourg,0.8569122371502225,0.416458984901991,2020-01-22,0,0,0,0.0,0.0
MS Zaandam,0.3863515067015417,0.3956553981703188,2020-01-22,0,0,0,0.0,0.0
Madagascar,0.20907733245673446,0.5547270157123148,2020-01-22,0,0,0,0.0,0.0
Malawi,0.2611498747918314,0.5120732313676111,2020-01-22,0,0,0,0.0,0.0
Malaysia,0.40996677803628634,0.7774753386742872,2020-01-22,0,0,0,0.0,0.0
Maldives,0.4166055031139097,0.6441631609939535,2020-01-22,0,0,0,0.0,0.0
Mali,0.5523261703492321,0.38209259048708344,2020-01-22,0,0,0,0.0,0.0
Malta,0.7258210321384951,0.4444448592611699,2020-01-22,0,0,0,0.0,0.0
Mauritania,0.584794410170814,0.4327879813264594,2020-01-22,0,0,0,0.0,0.0
Mauritius,0.19554011431680549,0.5908078122056805,2020-01-22,0,0,0,0.0,0.0
Mexico,0.6096055588459501,0.047595807107959964,2020-01-22,0,0,0,0.0,0.0
Moldova,0.8342066260672922,0.4919415628823502,2020-01-22,0,0,0,0.0,0.0
